日期,时刻,空气污染物类别,1001A,1002A,1003A,1004A,1005A,1006A,1007A,1008A,1009A,1010A,1011A,1012A
20240131,0,AQI,156.0,134.0,169.0,153.0,169.0,143.0,135.0,135.0,120.0,124.0,144.0,135.0
20240131,0,PM2.5,119.0,102.0,128.0,117.0,128.0,109.0,103.0,103.0,91.0,94.0,110.0,103.0
20240131,0,PM10,142.0,111.0,154.0,132.0,150.0,151.0,129.0,129.0,110.0,116.0,127.0,131.0
20240131,0,SO2,1.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0
20240131,0,NO2,47.0,20.0,34.0,43.0,43.0,58.0,36.0,36.0,27.0,31.0,60.0,38.0
20240131,0,O3,16.0,19.0,30.0,15.0,22.0,8.0,23.0,23.0,29.0,14.0,9.0,24.0
20240131,0,CO,1.2,1.2,1.4,1.2,1.1,1.2,1.1,1.1,1.2,1.3,1.3,1.2
20240131,1,AQI,163.0,132.0,163.0,166.0,159.0,139.0,132.0,132.0,118.0,122.0,137.0,134.0
20240131,1,PM2.5,124.0,100.0,124.0,126.0,121.0,106.0,100.0,100.0,89.0,92.0,104.0,102.0
20240131,1,PM10,145.0,109.0,148.0,141.0,142.0,148.0,125.0,125.0,107.0,116.0,120.0,128.0
20240131,1,SO2,1.0,2.0,5.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0
20240131,1,NO2,34.0,19.0,44.0,43.0,53.0,60.0,36.0,36.0,25.0,31.0,65.0,43.0
20240131,1,O3,26.0,18.0,19.0,21.0,11.0,7.0,21.0,21.0,30.0,14.0,5.0,13.0
20240131,1,CO,1.2,1.2,1.4,1.2,1.2,1.3,1.1,1.1,1.1,1.3,1.3,1.3
20240131,2,AQI,159.0,139.0,159.0,156.0,156.0,135.0,130.0,130.0,117.0,123.0,137.0,134.0
20240131,2,PM2.5,121.0,106.0,121.0,119.0,119.0,103.0,99.0,99.0,88.0,93.0,104.0,102.0
20240131,2,PM10,139.0,115.0,143.0,132.0,138.0,144.0,123.0,123.0,108.0,120.0,120.0,130.0
20240131,2,SO2,1.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,2.0,3.0
20240131,2,NO2,55.0,19.0,58.0,46.0,60.0,59.0,30.0,30.0,26.0,34.0,61.0,47.0
20240131,2,O3,9.0,17.0,5.0,9.0,5.0,7.0,27.0,27.0,26.0,12.0,5.0,10.0
20240131,2,CO,1.2,1.2,1.4,1.2,1.2,1.2,1.1,1.1,1.2,1.3,1.3,1.2
20240131,3,AQI,153.0,135.0,153.0,152.0,152.0,135.0,133.0,133.0,118.0,128.0,138.0,135.0
20240131,3,PM2.5,117.0,103.0,117.0,116.0,116.0,103.0,101.0,101.0,89.0,97.0,105.0,103.0
20240131,3,PM10,134.0,117.0,136.0,128.0,131.0,141.0,123.0,123.0,109.0,124.0,122.0,131.0
20240131,3,SO2,1.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0
20240131,3,NO2,62.0,37.0,52.0,48.0,50.0,57.0,29.0,29.0,24.0,41.0,56.0,47.0
20240131,3,O3,2.0,24.0,7.0,12.0,6.0,8.0,28.0,28.0,26.0,7.0,7.0,10.0
20240131,3,CO,1.2,0.9,1.4,1.2,1.1,1.2,1.0,1.0,1.1,1.0,1.3,1.2
